Speed_kmh,Acceleration_ms2,Braking_Pattern,Distance_Driven_km,Location_History,Vehicle_Make,Vehicle_Model,Vehicle_Year,Safety_Features,Past_Claims,Previous_Policy_Lapses,Accident_History,Road_Conditions,Weather_Data,Traffic_Congestion,Current_Premium,Policy_Type,Deductibles,Dynamic_Premium
80,3.0,Moderate,12624,Suburban,BMW,Sedan,2010,Advanced,3,0,Major,Moderate,Clear,Moderate,36528,Pay-As-You-Drive,4801,99230
65,3.22,Harsh,27623,Rural,Honda,Truck,2023,Standard,2,1,None,Moderate,Rain,Low,26581,Third-Party,2920,73006
111,3.01,Moderate,1281,Rural,BMW,Hatchback,2003,Standard,1,0,None,Poor,Clear,High,35971,Pay-As-You-Drive,2262,99953
45,2.77,Smooth,21203,Rural,Honda,Convertible,2005,Standard,3,0,None,Good,Clear,Moderate,6383,Pay-As-You-Drive,3788,15107
90,1.29,Moderate,5173,Urban,Toyota,SUV,2020,Basic,0,1,Minor,Poor,Clear,Low,20623,Comprehensive,4514,46842
93,1.14,Smooth,28881,Rural,Toyota,Convertible,2013,Basic,2,2,None,Poor,Rain,High,38044,Pay-As-You-Drive,1444,101166
111,1.28,Moderate,9778,Urban,Tesla,Convertible,2017,Basic,3,0,None,Good,Fog,High,48394,Pay-As-You-Drive,3420,123220
96,1.07,Smooth,17768,Highway,BMW,Coupe,2016,Basic,0,2,None,Good,Clear,Moderate,6537,Pay-As-You-Drive,4584,16136
47,1.76,Moderate,3380,Suburban,Tesla,Coupe,2018,Advanced,0,0,None,Good,Rain,Low,48389,Pay-As-You-Drive,3934,88611
102,3.72,Moderate,11413,Highway,Honda,SUV,2021,Standard,0,0,None,Moderate,Clear,Low,6585,Pay-As-You-Drive,747,18298
64,3.87,Smooth,14426,Highway,Honda,Convertible,2015,Advanced,4,1,None,Good,Clear,High,22650,Comprehensive,1742,70255
75,0.52,Moderate,18229,Rural,Mercedes,Convertible,2015,Standard,4,2,None,Good,Clear,Moderate,23751,Third-Party,1601,60666
74,2.44,Moderate,4859,Suburban,Mercedes,Convertible,2014,Basic,3,0,Major,Poor,Clear,High,39664,Third-Party,2694,100228
113,3.45,Moderate,1836,Urban,Mercedes,Hatchback,2021,Standard,3,0,None,Good,Clear,Low,17664,Comprehensive,4388,54846
88,2.35,Moderate,26725,Suburban,Ford,Hatchback,2022,Standard,3,0,None,Poor,Rain,Low,30399,Pay-As-You-Drive,2309,79703
64,0.69,Moderate,8770,Suburban,Honda,Convertible,2005,Basic,0,2,Major,Good,Clear,High,36424,Comprehensive,3635,76697
112,3.07,Moderate,29986,Rural,BMW,Sedan,2006,Basic,0,2,None,Poor,Clear,Moderate,5907,Comprehensive,3525,18317
53,1.46,Smooth,14294,Urban,Chevrolet,Sedan,2011,Advanced,0,2,None,Good,Rain,High,32417,Third-Party,714,71549
65,2.54,Harsh,2513,Rural,Ford,Truck,2022,Basic,2,1,Minor,Poor,Rain,Low,25739,Pay-As-You-Drive,4183,66338
79,1.01,Smooth,18275,Rural,Ford,Coupe,2020,Basic,1,2,Minor,Good,Clear,High,24945,Pay-As-You-Drive,4105,60117
104,2.45,Smooth,7455,Urban,BMW,Coupe,2010,Standard,3,1,None,Moderate,Rain,Low,13719,Pay-As-You-Drive,4052,40854
66,3.89,Harsh,19433,Urban,BMW,Coupe,2021,Standard,4,0,None,Moderate,Clear,Moderate,5391,Third-Party,2715,15750
89,2.73,Moderate,14905,Highway,Chevrolet,Convertible,2009,Basic,0,0,None,Good,Fog,Low,12976,Comprehensive,3739,31458
85,3.72,Smooth,10270,Highway,Ford,Coupe,2017,Standard,0,2,None,Good,Clear,Moderate,33970,Pay-As-You-Drive,2413,103201
68,3.32,Moderate,9670,Highway,Tesla,Hatchback,2003,Standard,0,2,None,Moderate,Clear,Low,8975,Third-Party,1925,25108
112,3.43,Harsh,9858,Rural,Honda,Sedan,2000,Advanced,3,2,Minor,Good,Clear,Moderate,10403,Third-Party,4967,36307
30,2.38,Smooth,20742,Urban,Chevrolet,Truck,2012,Standard,0,1,Minor,Good,Clear,High,9460,Third-Party,4562,19351
103,2.17,Smooth,11377,Rural,Toyota,Convertible,2011,Basic,4,2,None,Good,Clear,Low,31670,Comprehensive,685,101374
52,3.43,Harsh,12359,Rural,Ford,Hatchback,2009,Basic,1,1,None,Poor,Rain,Low,28291,Third-Party,4051,73297
33,0.97,Moderate,17332,Suburban,Mercedes,Convertible,2022,Basic,1,0,Minor,Good,Clear,Low,29868,Comprehensive,2396,48308
46,2.15,Smooth,29870,Rural,BMW,Convertible,2023,Standard,2,0,None,Moderate,Clear,Moderate,11662,Comprehensive,2281,24733
102,1.62,Harsh,11977,Suburban,Mercedes,Convertible,2023,Standard,0,0,None,Moderate,Clear,Low,48312,Pay-As-You-Drive,3654,108922
87,1.68,Smooth,23126,Rural,Mercedes,Convertible,2015,Standard,2,0,None,Good,Fog,Low,49370,Third-Party,2752,115728
39,2.2,Moderate,11333,Suburban,Tesla,Coupe,2006,Advanced,0,1,None,Moderate,Rain,Moderate,45171,Third-Party,2652,93741
79,0.61,Moderate,3607,Highway,BMW,Hatchback,2006,Standard,0,2,None,Good,Clear,Low,14529,Third-Party,4065,32127
111,3.74,Smooth,15472,Rural,Ford,Truck,2007,Basic,2,2,None,Poor,Rain,High,42541,Comprehensive,2405,147206
95,3.51,Harsh,7195,Highway,Chevrolet,SUV,2012,Standard,1,1,None,Good,Clear,Moderate,39520,Comprehensive,866,117389
69,2.78,Moderate,13211,Highway,BMW,Hatchback,2007,Standard,4,2,None,Good,Fog,Low,18827,Comprehensive,1681,57797
71,3.78,Harsh,25564,Highway,Honda,Hatchback,2002,Advanced,3,1,None,Moderate,Clear,High,33993,Third-Party,2713,103191
100,2.76,Smooth,4828,Highway,Mercedes,Sedan,2015,Standard,4,1,Minor,Good,Snow,Low,16576,Pay-As-You-Drive,2181,51789
66,1.58,Smooth,552,Suburban,Tesla,Coupe,2017,Basic,1,0,None,Moderate,Rain,Low,43895,Third-Party,884,89815
47,2.15,Harsh,12050,Urban,Ford,Truck,2016,Standard,3,0,None,Moderate,Fog,Low,8405,Pay-As-You-Drive,3141,18746
32,2.23,Smooth,11138,Suburban,Honda,Truck,2022,Standard,0,2,None,Good,Clear,Low,13711,Third-Party,819,30488
54,1.8,Moderate,25006,Rural,Tesla,SUV,2021,Basic,0,1,None,Moderate,Rain,Moderate,46451,Comprehensive,2818,97545
38,2.89,Moderate,28525,Suburban,Honda,Convertible,2007,Standard,3,1,None,Good,Clear,Low,36571,Comprehensive,2257,92883
46,2.54,Harsh,25431,Rural,Mercedes,Convertible,2015,Standard,3,1,Major,Good,Clear,Moderate,20744,Comprehensive,584,52258
81,1.66,Smooth,19478,Highway,Ford,Convertible,2023,Basic,4,2,None,Moderate,Clear,Moderate,29533,Pay-As-You-Drive,3730,85323
110,0.63,Smooth,11254,Urban,Honda,Convertible,2006,Standard,2,0,None,Poor,Clear,Moderate,11470,Pay-As-You-Drive,4559,26084
46,1.88,Smooth,20406,Suburban,Tesla,Hatchback,2008,Standard,4,2,None,Moderate,Snow,High,41032,Comprehensive,4342,108820
98,3.84,Moderate,17846,Rural,BMW,Coupe,2008,Standard,3,1,Minor,Good,Snow,High,41728,Third-Party,2538,136727
51,2.86,Harsh,13069,Highway,Mercedes,Coupe,2003,Basic,3,0,None,Good,Clear,Low,29913,Comprehensive,3578,73007
66,1.38,Smooth,14938,Urban,Toyota,Sedan,2006,Standard,0,2,None,Poor,Clear,Low,42260,Comprehensive,2279,96953
103,2.0,Moderate,18613,Highway,Ford,Sedan,2020,Standard,4,1,None,Good,Clear,Low,47548,Comprehensive,3564,140632
77,3.97,Smooth,6289,Highway,Mercedes,Truck,2012,Standard,0,0,Minor,Moderate,Fog,Low,9798,Third-Party,4050,25811
90,1.24,Moderate,2844,Urban,BMW,SUV,2006,Standard,2,0,None,Good,Rain,Moderate,11815,Comprehensive,3463,26705
75,3.45,Smooth,17425,Suburban,Ford,SUV,2004,Basic,0,1,Minor,Good,Rain,Low,39708,Comprehensive,1651,106756
51,3.55,Smooth,23888,Suburban,Mercedes,SUV,2007,Standard,0,1,Major,Poor,Rain,Moderate,19485,Pay-As-You-Drive,1235,48958
33,1.2,Moderate,28605,Rural,Ford,Coupe,2002,Standard,4,1,None,Poor,Clear,High,9024,Comprehensive,4115,19621
116,1.24,Moderate,19268,Urban,Mercedes,Hatchback,2015,Advanced,2,1,None,Good,Fog,Moderate,6035,Pay-As-You-Drive,4367,16152
92,2.69,Harsh,9460,Rural,BMW,Truck,2012,Standard,4,0,None,Good,Rain,High,16581,Comprehensive,3694,47093
115,3.58,Harsh,5026,Suburban,Ford,Coupe,2018,Basic,2,2,Major,Good,Clear,Moderate,38818,Third-Party,4774,134027
65,2.44,Smooth,20987,Urban,Mercedes,Sedan,2014,Advanced,2,0,None,Poor,Snow,Moderate,41268,Third-Party,3710,97008
98,3.53,Smooth,6261,Highway,Toyota,SUV,2016,Standard,2,0,None,Moderate,Clear,Low,10630,Comprehensive,2209,30819
95,2.0,Smooth,27446,Highway,Chevrolet,Sedan,2009,Advanced,4,2,None,Good,Fog,Moderate,49105,Pay-As-You-Drive,4105,151873
81,0.69,Smooth,12866,Highway,BMW,Convertible,2019,Standard,0,0,None,Moderate,Clear,Low,25788,Comprehensive,3182,47645
62,0.98,Smooth,6342,Urban,Honda,SUV,2016,Standard,4,0,None,Good,Fog,Moderate,21230,Third-Party,2863,45870
71,2.14,Smooth,6070,Highway,Honda,SUV,2023,Basic,1,0,None,Good,Clear,Moderate,25477,Comprehensive,3959,56725
116,0.77,Smooth,4798,Rural,Tesla,Convertible,2016,Standard,2,1,Major,Poor,Clear,Low,8209,Comprehensive,1939,21010
37,2.62,Moderate,3640,Suburban,Toyota,SUV,2014,Basic,1,2,Minor,Moderate,Rain,Low,17103,Third-Party,3408,42126
43,3.81,Smooth,15520,Highway,Mercedes,Hatchback,2012,Advanced,1,2,None,Good,Clear,Moderate,8747,Pay-As-You-Drive,3771,24585
110,3.69,Smooth,20041,Suburban,Mercedes,Convertible,2011,Basic,0,0,None,Good,Clear,Moderate,5568,Third-Party,1315,15803
76,3.93,Smooth,28714,Urban,Tesla,SUV,2007,Basic,2,0,None,Moderate,Rain,High,37716,Pay-As-You-Drive,3950,106195
75,2.25,Smooth,26034,Urban,Tesla,Hatchback,2009,Standard,0,0,None,Good,Clear,Low,20777,Third-Party,2665,45459
107,0.67,Smooth,10324,Suburban,Mercedes,Sedan,2015,Basic,4,1,Minor,Good,Rain,Low,35808,Comprehensive,2741,95205
108,1.56,Smooth,6468,Highway,BMW,Hatchback,2005,Advanced,4,1,None,Poor,Snow,High,35514,Pay-As-You-Drive,2314,102599
42,1.48,Smooth,23326,Suburban,Tesla,Convertible,2008,Standard,2,1,Minor,Good,Clear,Low,11658,Comprehensive,1190,24721
100,2.35,Moderate,21693,Suburban,Mercedes,Convertible,2016,Basic,2,0,None,Moderate,Clear,High,45664,Third-Party,2187,119696
66,2.21,Smooth,14269,Urban,Mercedes,Coupe,2000,Advanced,0,2,None,Moderate,Snow,High,11326,Comprehensive,2923,28337
86,3.08,Smooth,21903,Highway,Toyota,Sedan,2004,Standard,3,0,None,Poor,Clear,Moderate,42573,Pay-As-You-Drive,4824,118584
73,0.82,Smooth,28997,Rural,Honda,Sedan,2002,Standard,4,0,None,Moderate,Clear,Moderate,24539,Third-Party,2374,54319
59,0.71,Moderate,24070,Suburban,Ford,Coupe,2020,Standard,3,1,None,Poor,Clear,Moderate,47050,Pay-As-You-Drive,1911,102002
31,1.74,Smooth,2733,Highway,Toyota,SUV,2021,Basic,0,1,None,Good,Rain,Low,49478,Pay-As-You-Drive,2173,93635
30,3.34,Harsh,14428,Suburban,Tesla,Hatchback,2005,Basic,1,1,None,Good,Rain,Moderate,41873,Third-Party,993,99831
79,2.99,Harsh,17722,Suburban,Toyota,Truck,2012,Basic,4,2,None,Poor,Rain,Low,43933,Third-Party,3266,140887
83,1.09,Smooth,11846,Suburban,Tesla,Sedan,2020,Standard,4,0,Minor,Moderate,Clear,Moderate,8775,Pay-As-You-Drive,2722,20738
100,2.2,Smooth,19619,Urban,BMW,SUV,2014,Standard,2,2,Minor,Poor,Rain,Moderate,8541,Third-Party,2275,25481
76,2.19,Smooth,13746,Suburban,Mercedes,Hatchback,2017,Standard,1,2,None,Good,Clear,Low,17470,Pay-As-You-Drive,2668,46852
60,2.68,Smooth,17224,Suburban,Chevrolet,Coupe,2013,Standard,0,0,None,Good,Fog,Low,24931,Third-Party,3907,54128
107,3.15,Moderate,9993,Rural,Toyota,SUV,2018,Basic,3,1,None,Moderate,Clear,Moderate,20981,Comprehensive,3414,66712
58,1.95,Smooth,24924,Rural,BMW,SUV,2006,Standard,3,0,None,Moderate,Rain,High,25006,Comprehensive,4392,56814
59,0.85,Moderate,7141,Highway,Toyota,Coupe,2000,Standard,2,2,Major,Good,Clear,High,5730,Third-Party,1087,13200
98,1.52,Harsh,4856,Highway,Ford,SUV,2000,Advanced,2,0,Major,Good,Clear,High,10107,Third-Party,932,24217
104,3.33,Smooth,11084,Urban,Ford,SUV,2016,Basic,2,1,None,Moderate,Clear,High,17662,Comprehensive,1323,54759
63,3.51,Moderate,18250,Rural,BMW,Truck,2020,Basic,3,0,None,Good,Clear,Moderate,41328,Third-Party,3476,111737
37,2.33,Smooth,8291,Suburban,Tesla,Hatchback,2014,Standard,4,2,None,Good,Clear,Moderate,30903,Third-Party,852,83143
103,1.9,Smooth,29637,Highway,Tesla,Hatchback,2004,Basic,3,1,Minor,Moderate,Clear,Moderate,39066,Comprehensive,3235,110726
55,2.86,Moderate,2139,Suburban,Ford,Coupe,2005,Basic,4,1,Major,Poor,Rain,High,43652,Third-Party,3004,121084
112,1.65,Moderate,27153,Urban,Chevrolet,Convertible,2016,Basic,1,1,Minor,Moderate,Fog,High,44262,Third-Party,1117,117091
99,0.89,Smooth,3398,Urban,Ford,Convertible,2023,Basic,4,1,Minor,Moderate,Clear,Low,35385,Third-Party,3136,93699
118,2.57,Smooth,7402,Urban,Chevrolet,Coupe,2003,Standard,2,2,Minor,Poor,Clear,Moderate,23885,Comprehensive,3959,77063
105,0.75,Harsh,12478,Urban,Chevrolet,Truck,2016,Basic,0,2,None,Moderate,Clear,Moderate,36313,Comprehensive,4173,89446
47,3.02,Smooth,19593,Highway,Honda,Hatchback,2006,Standard,3,2,None,Moderate,Clear,Moderate,38398,Pay-As-You-Drive,2866,109303
49,2.84,Moderate,15584,Urban,Mercedes,Truck,2006,Standard,2,0,Major,Good,Clear,High,43316,Pay-As-You-Drive,2025,100467
49,1.11,Moderate,12043,Suburban,Chevrolet,SUV,2022,Basic,3,1,None,Good,Fog,Low,32249,Third-Party,4698,70515
116,2.66,Harsh,2354,Suburban,BMW,SUV,2011,Standard,4,2,None,Poor,Clear,High,23692,Third-Party,3360,81318
60,3.01,Moderate,16852,Suburban,Mercedes,SUV,2023,Standard,2,2,None,Good,Snow,Low,43812,Pay-As-You-Drive,4040,124973
83,1.3,Smooth,8643,Suburban,Honda,Coupe,2015,Standard,0,2,None,Poor,Clear,Moderate,20327,Third-Party,2266,49112
67,3.64,Smooth,25489,Rural,Ford,Coupe,2017,Standard,4,0,None,Poor,Fog,Low,20259,Pay-As-You-Drive,1700,58091
48,2.5,Smooth,15414,Suburban,Chevrolet,SUV,2021,Advanced,1,1,None,Poor,Clear,Low,38495,Third-Party,4803,89467
31,2.96,Harsh,29839,Rural,Ford,SUV,2009,Basic,3,1,None,Poor,Snow,Low,37563,Third-Party,4818,93879
87,3.36,Smooth,25869,Rural,BMW,SUV,2020,Basic,2,1,Minor,Moderate,Clear,High,46612,Pay-As-You-Drive,1086,138207
55,3.79,Moderate,1531,Suburban,BMW,SUV,2014,Standard,2,1,None,Poor,Clear,Low,15926,Pay-As-You-Drive,2160,44665
107,3.85,Smooth,28618,Suburban,Mercedes,Coupe,2009,Standard,1,0,None,Good,Clear,Moderate,21593,Third-Party,1591,63808
35,2.22,Smooth,12860,Rural,Tesla,Convertible,2017,Standard,2,2,None,Good,Fog,High,11696,Comprehensive,3476,28621
47,3.76,Smooth,25855,Highway,BMW,Convertible,2006,Standard,0,2,Minor,Good,Clear,Low,21903,Pay-As-You-Drive,2470,59808
99,1.05,Smooth,10214,Suburban,Honda,Coupe,2005,Advanced,2,0,None,Moderate,Clear,Low,38135,Comprehensive,1655,87238
35,0.54,Harsh,19446,Suburban,Mercedes,Convertible,2000,Basic,4,1,None,Moderate,Clear,Moderate,30935,Third-Party,1086,62724
30,3.8,Moderate,22363,Suburban,Ford,Coupe,2016,Standard,3,1,None,Moderate,Clear,Low,12222,Comprehensive,1594,32997
105,1.43,Moderate,9389,Urban,Honda,SUV,2004,Standard,3,2,Minor,Moderate,Clear,Moderate,8457,Comprehensive,724,24790
96,2.86,Smooth,6855,Rural,Ford,Convertible,2022,Standard,2,0,None,Good,Fog,Moderate,25278,Third-Party,2916,68653
63,2.2,Smooth,8716,Suburban,Ford,Truck,2016,Standard,0,2,None,Good,Clear,Low,35231,Third-Party,1232,87235
40,1.95,Smooth,29305,Urban,Toyota,Hatchback,2022,Basic,3,0,None,Moderate,Clear,Low,44862,Comprehensive,1190,95115
71,1.09,Smooth,11921,Highway,BMW,Convertible,2013,Advanced,3,0,None,Poor,Clear,Low,42227,Pay-As-You-Drive,2304,91431
80,1.75,Moderate,15651,Rural,Ford,Convertible,2022,Basic,0,1,None,Good,Clear,High,10668,Third-Party,2364,24588
118,1.62,Harsh,11020,Suburban,Chevrolet,SUV,2004,Basic,4,0,None,Good,Rain,Moderate,49595,Comprehensive,1799,138277
70,1.99,Harsh,4327,Urban,Chevrolet,Truck,2019,Standard,1,2,None,Poor,Clear,High,25634,Pay-As-You-Drive,4895,66175
109,1.9,Smooth,19620,Suburban,Tesla,Convertible,2020,Standard,3,0,None,Good,Clear,Moderate,36423,Comprehensive,2722,97714
98,3.32,Moderate,29393,Urban,Ford,Sedan,2006,Standard,4,1,Minor,Good,Rain,Moderate,45690,Pay-As-You-Drive,954,148289
42,1.05,Moderate,11721,Urban,Honda,Truck,2019,Basic,0,1,None,Good,Clear,Moderate,22939,Comprehensive,3619,41569
82,3.96,Smooth,11527,Suburban,Honda,Sedan,2014,Standard,3,2,None,Good,Clear,High,39056,Third-Party,936,131716
103,3.9,Harsh,11872,Suburban,Honda,Sedan,2022,Standard,0,1,None,Moderate,Clear,High,22516,Comprehensive,2618,68281
97,2.38,Moderate,29524,Suburban,Tesla,Sedan,2016,Advanced,0,0,None,Good,Clear,Low,35054,Pay-As-You-Drive,4454,84265
105,2.25,Moderate,25012,Rural,Tesla,Sedan,2019,Standard,0,0,None,Good,Rain,Moderate,12394,Pay-As-You-Drive,1727,30202
103,1.66,Moderate,26835,Highway,BMW,SUV,2022,Basic,1,1,None,Good,Clear,Moderate,28820,Third-Party,1944,74184
99,2.8,Smooth,6820,Suburban,Chevrolet,Truck,2007,Standard,1,2,None,Good,Clear,Low,15740,Pay-As-You-Drive,3908,47594
119,0.88,Smooth,4782,Highway,Ford,Truck,2013,Basic,2,2,Major,Moderate,Fog,Low,39696,Third-Party,836,111609
46,3.81,Moderate,15719,Suburban,Tesla,Sedan,2009,Advanced,1,0,Minor,Moderate,Clear,Low,5444,Pay-As-You-Drive,1560,13254
56,0.97,Smooth,12852,Highway,Chevrolet,SUV,2014,Advanced,1,2,Minor,Good,Clear,Moderate,32598,Pay-As-You-Drive,1244,71990
31,1.56,Smooth,11157,Suburban,Tesla,Hatchback,2004,Standard,2,1,None,Moderate,Snow,High,12948,Third-Party,4402,26534
30,2.83,Smooth,11243,Rural,BMW,Coupe,2016,Basic,0,0,Minor,Moderate,Clear,High,34405,Comprehensive,3008,67358
37,3.01,Smooth,17208,Urban,Honda,Sedan,2001,Standard,0,2,None,Good,Clear,Low,49984,Third-Party,2025,122942
106,3.47,Smooth,25251,Highway,Chevrolet,Sedan,2022,Basic,1,2,Major,Good,Rain,Low,31794,Comprehensive,3424,103382
99,3.62,Smooth,6826,Urban,Honda,Coupe,2012,Basic,3,1,None,Good,Rain,Moderate,23845,Third-Party,3548,77013
66,1.04,Moderate,22989,Suburban,Ford,Hatchback,2021,Standard,0,2,Minor,Moderate,Clear,High,33053,Third-Party,4056,73058
30,2.21,Smooth,1506,Suburban,Chevrolet,Convertible,2006,Standard,4,1,Minor,Poor,Clear,Low,12413,Comprehensive,2220,29822
72,1.21,Moderate,17387,Urban,Toyota,Coupe,2007,Standard,3,1,Major,Good,Clear,Low,6705,Third-Party,932,16108
104,1.61,Smooth,9761,Highway,BMW,SUV,2013,Advanced,1,1,None,Moderate,Clear,Moderate,25747,Comprehensive,1582,66145
119,1.52,Moderate,15488,Highway,Chevrolet,Coupe,2006,Standard,2,1,None,Good,Clear,Moderate,20852,Third-Party,2397,57818
64,1.98,Harsh,5989,Rural,Honda,Convertible,2018,Basic,1,0,None,Good,Rain,Moderate,38860,Pay-As-You-Drive,550,82741
44,2.68,Smooth,23037,Rural,Chevrolet,Coupe,2012,Standard,0,0,None,Moderate,Snow,Moderate,27100,Comprehensive,2785,55219
100,3.5,Smooth,26063,Suburban,BMW,Sedan,2004,Advanced,4,0,None,Moderate,Clear,Moderate,23126,Third-Party,4846,71901
32,2.02,Harsh,18366,Suburban,Honda,Convertible,2021,Standard,1,1,None,Good,Fog,Moderate,27737,Pay-As-You-Drive,3871,57471
101,3.08,Smooth,18429,Urban,Ford,Coupe,2002,Standard,1,2,None,Moderate,Clear,Moderate,25524,Comprehensive,4980,79396
69,3.47,Smooth,10359,Highway,Chevrolet,Coupe,2019,Standard,2,1,Minor,Poor,Clear,Moderate,22401,Third-Party,4288,63673
58,1.84,Moderate,14914,Suburban,BMW,Sedan,2001,Standard,3,0,None,Good,Clear,Low,48263,Pay-As-You-Drive,2093,108322
69,1.44,Smooth,25966,Highway,Tesla,Hatchback,2005,Basic,2,1,Minor,Moderate,Fog,Low,17438,Pay-As-You-Drive,3269,40699
93,0.76,Smooth,28683,Rural,Honda,Hatchback,2015,Basic,0,1,None,Good,Rain,High,29097,Pay-As-You-Drive,4638,62964
104,0.79,Smooth,25631,Urban,Ford,Convertible,2019,Advanced,0,0,None,Good,Clear,Moderate,16088,Comprehensive,1382,33193
35,1.12,Moderate,5277,Highway,BMW,Hatchback,2015,Standard,2,1,Minor,Moderate,Clear,High,34837,Pay-As-You-Drive,1251,68683
65,1.76,Smooth,16564,Highway,Toyota,SUV,2010,Standard,0,0,None,Good,Clear,High,45037,Pay-As-You-Drive,854,89296
